Title,Title_URL,Image,month,day,Location,qvbtn,Location2,Location3
Trombone Shorty & Orleans Avenue,https://www.experiencecolumbus.com/event/trombone-shorty-%26-orleans-avenue/74411/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/https___images.discovery-prod.axs.com_2022_06_uploadedimage-jpg_62b49625e4765.jpg",SEP,20,,"Quick View
",,Newport Music Hall
Tuesday Night New Music Showcase,https://www.experiencecolumbus.com/event/tuesday-night-new-music-showcase/75086/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/IMG_5633.JPG",SEP,20,Eldorado's Food & Spirits,"Quick View
",,
Chaz & Nicki (Free Show),https://www.experiencecolumbus.com/event/chaz-%26-nicki-(free-show)/75037/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/Chaz_and_Nicki_duo_2022.JPG",SEP,21,Natalie's Worthington,"Quick View
",,
Griffin House - Music Hall,https://www.experiencecolumbus.com/event/griffin-house-music-hall/74598/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/Griffin_House_2022.jpeg",SEP,21,Natalie's Grandview,"Quick View
",,
Iain Matthews - Charlie's Stage,https://www.experiencecolumbus.com/event/iain-matthews-charlies-stage/74763/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/Iain_Matthews_2022.jpeg",SEP,21,Natalie's Grandview,"Quick View
",,
Old 97's,https://www.experiencecolumbus.com/event/old-97s/73790/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/Old%2097%27s_959CE1925056BF65D641BE13C207A413.jpg",SEP,21,The Bluestone,"Quick View
",,
Panic! at the Disco,https://www.experiencecolumbus.com/event/panic!-at-the-disco/73931/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/PATD2022_slide.jpg",SEP,21,,"Quick View
",,Nationwide Arena
Wed@2: Mozart to Matisse – Courtly Themes: Music and the Dresden Tapestries,https://www.experiencecolumbus.com/event/wed%402%3a-mozart-to-matisse-%26%238211%3b-courtly-themes%3a-music-and-the-dresden-tapestries/74202/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/245-9.-eight__apostles_1993.51.2.jpg",SEP,21,,"Quick View
",,Columbus Museum of Art
Weird Wednesday at The Summit Music Hall,https://www.experiencecolumbus.com/event/weird-wednesday-at-the-summit-music-hall/74909/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/weird_wed_DOGSINAPILE.png",SEP,21,The Summit Music Hall,"Quick View
",,
Courtly Themes: Music and the Dresden Tapestries,https://www.experiencecolumbus.com/event/courtly-themes%3a-music-and-the-dresden-tapestries/74854/,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_fill,h_205,q_75,w_304/https://columbus.simpleviewcrm.com/images/calendar/Raphael__Eight_Apostles__detail___c._1514.png",SEP,21,,"Quick View
",,Columbus Museum of Art
