Image,eventlink_URL,eventlink,support,venuelink_URL,venuelink,City,Field
,https://www.songkick.com/concerts/40399732-harry-styles-at-kia-forum,Harry Styles,Ben Harper,https://www.songkick.com/venues/16272-kia-forum,Kia Forum,"Inglewood, CA, US ","
        <time datetime=""2022-11-12T20:00:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40399732-harry-styles-at-kia-forum"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/5820634/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Harry Styles live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40399732-harry-styles-at-kia-forum"">
                <span>
                  <strong>Harry Styles</strong>
                    <span class=""support"">Ben Harper</span>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/16272-kia-forum"">Kia Forum</a></span>,
              <span>
                <span class=""city-name"">Inglewood, CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40399732-harry-styles-at-kia-forum"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Harry Styles"",""url"":""https://www.songkick.com/concerts/40399732-harry-styles-at-kia-forum?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/5820634/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Inglewood"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""3900 W. Manchester Blvd."",""postalCode"":""90305""},""name"":""Kia Forum"",""sameAs"":""https://thekiaforum.com/"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.9582,""longitude"":-118.34053}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T20:00:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Harry Styles"",""sameAs"":""https://www.songkick.com/artists/5820634-harry-styles?utm_medium=organic\u0026utm_source=microformat""},{""@type"":""MusicGroup"",""name"":""Ben Harper"",""sameAs"":""https://www.songkick.com/artists/215077-ben-harper?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Harry Styles at Kia Forum at 2022-11-12T20:00:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40399732-harry-styles-at-kia-forum?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40478295-young-the-giant-at-youtube-theater,Young the Giant,Danielle Ponder,https://www.songkick.com/venues/4404004-youtube-theater,YouTube Theater,"Inglewood, CA, US ","
        <time datetime=""2022-11-12T20:00:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40478295-young-the-giant-at-youtube-theater"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/2905251/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Young the Giant live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40478295-young-the-giant-at-youtube-theater"">
                <span>
                  <strong>Young the Giant</strong>
                    <span class=""support"">Danielle Ponder</span>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/4404004-youtube-theater"">YouTube Theater</a></span>,
              <span>
                <span class=""city-name"">Inglewood, CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40478295-young-the-giant-at-youtube-theater"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Young the Giant"",""url"":""https://www.songkick.com/concerts/40478295-young-the-giant-at-youtube-theater?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/2905251/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Inglewood"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""1011 S. Stadium Dr"",""postalCode"":""90301""},""name"":""YouTube Theater"",""sameAs"":null,""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.95314,""longitude"":-118.33847}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T20:00:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Young the Giant"",""sameAs"":""https://www.songkick.com/artists/2905251-young-the-giant?utm_medium=organic\u0026utm_source=microformat""},{""@type"":""MusicGroup"",""name"":""Danielle Ponder"",""sameAs"":""https://www.songkick.com/artists/10094905-danielle-ponder?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Young the Giant at YouTube Theater at 2022-11-12T20:00:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40478295-young-the-giant-at-youtube-theater?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40561939-charlie-wilson-at-toyota-arena,"Charlie Wilson, Boyz II Men, Jodeci, Keith Sweat, and Shanice",,https://www.songkick.com/venues/28655-toyota-arena,Toyota Arena,"Ontario, CA, US ","
        <time datetime=""2022-11-12T19:00:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40561939-charlie-wilson-at-toyota-arena"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/86499/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Charlie Wilson live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40561939-charlie-wilson-at-toyota-arena"">
                <span>
                  <strong>Charlie Wilson, Boyz II Men, Jodeci, Keith Sweat, and Shanice</strong>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/28655-toyota-arena"">Toyota Arena</a></span>,
              <span>
                <span class=""city-name"">Ontario, CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40561939-charlie-wilson-at-toyota-arena"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Charlie Wilson"",""url"":""https://www.songkick.com/concerts/40561939-charlie-wilson-at-toyota-arena?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/86499/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Ontario"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""4000 E. Ontario Center Pkwy."",""postalCode"":""91764""},""name"":""Toyota Arena"",""sameAs"":""https://www.toyota-arena.com/"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":34.0729,""longitude"":-117.56628}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T19:00:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Charlie Wilson"",""sameAs"":""https://www.songkick.com/artists/86499-charlie-wilson?utm_medium=organic\u0026utm_source=microformat""},{""@type"":""MusicGroup"",""name"":""Boyz II Men"",""sameAs"":""https://www.songkick.com/artists/371884-boyz-ii-men?utm_medium=organic\u0026utm_source=microformat""},{""@type"":""MusicGroup"",""name"":""Jodeci"",""sameAs"":""https://www.songkick.com/artists/460417-jodeci?utm_medium=organic\u0026utm_source=microformat""},{""@type"":""MusicGroup"",""name"":""Keith Sweat"",""sameAs"":""https://www.songkick.com/artists/559980-keith-sweat?utm_medium=organic\u0026utm_source=microformat""},{""@type"":""MusicGroup"",""name"":""Shanice"",""sameAs"":""https://www.songkick.com/artists/135676-shanice?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Charlie Wilson, Boyz II Men, Jodeci, Keith Sweat, and Shanice at Toyota Arena at 2022-11-12T19:00:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40561939-charlie-wilson-at-toyota-arena?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40636147-morrissey-at-greek-theatre,Morrissey,,https://www.songkick.com/venues/523-greek-theatre,The Greek Theatre,"Los Angeles (LA), CA, US ","
        <time datetime=""2022-11-12T19:00:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40636147-morrissey-at-greek-theatre"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/417787/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Morrissey live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40636147-morrissey-at-greek-theatre"">
                <span>
                  <strong>Morrissey</strong>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/523-greek-theatre"">The Greek Theatre</a></span>,
              <span>
                <span class=""city-name"">Los Angeles (LA), CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40636147-morrissey-at-greek-theatre"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Morrissey"",""url"":""https://www.songkick.com/concerts/40636147-morrissey-at-greek-theatre?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/417787/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Los Angeles (LA)"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""2700 N. Vermont Ave."",""postalCode"":""90027""},""name"":""The Greek Theatre"",""sameAs"":""http://www.lagreektheatre.com"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":34.12047,""longitude"":-118.29662}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T19:00:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Morrissey"",""sameAs"":""https://www.songkick.com/artists/417787-morrissey?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Morrissey at The Greek Theatre at 2022-11-12T19:00:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40636147-morrissey-at-greek-theatre?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40417980-311-at-wiltern,311,,https://www.songkick.com/venues/780-wiltern,The Wiltern,"Los Angeles (LA), CA, US ","
        <time datetime=""2022-11-12T19:00:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40417980-311-at-wiltern"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/486064/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""311 live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40417980-311-at-wiltern"">
                <span>
                  <strong>311</strong>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/780-wiltern"">The Wiltern</a></span>,
              <span>
                <span class=""city-name"">Los Angeles (LA), CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40417980-311-at-wiltern"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""311"",""url"":""https://www.songkick.com/concerts/40417980-311-at-wiltern?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/486064/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Los Angeles (LA)"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""3790 Wilshire Blvd"",""postalCode"":""90010""},""name"":""The Wiltern"",""sameAs"":""http://www.livenation.com/venues/14361/the-wiltern"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":34.06194,""longitude"":-118.30884}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T19:00:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""311"",""sameAs"":""https://www.songkick.com/artists/486064-311?utm_medium=organic\u0026utm_source=microformat""}],""description"":""311 at The Wiltern at 2022-11-12T19:00:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40417980-311-at-wiltern?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40659274-dominic-fike-at-hollywood-palladium,Dominic Fike,,https://www.songkick.com/venues/1401-hollywood-palladium,Hollywood Palladium,"Hollywood, CA, US ","
        <time datetime=""2022-11-12T18:30:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40659274-dominic-fike-at-hollywood-palladium"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/10012034/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Dominic Fike live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40659274-dominic-fike-at-hollywood-palladium"">
                <span>
                  <strong>Dominic Fike</strong>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/1401-hollywood-palladium"">Hollywood Palladium</a></span>,
              <span>
                <span class=""city-name"">Hollywood, CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40659274-dominic-fike-at-hollywood-palladium"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Dominic Fike"",""url"":""https://www.songkick.com/concerts/40659274-dominic-fike-at-hollywood-palladium?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/10012034/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Hollywood"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""6215 Sunset Blvd."",""postalCode"":""90028""},""name"":""Hollywood Palladium"",""sameAs"":""http://www.hollywoodpalladium.com"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":34.09815,""longitude"":-118.32454}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T18:30:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Dominic Fike"",""sameAs"":""https://www.songkick.com/artists/10012034-dominic-fike?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Dominic Fike at Hollywood Palladium at 2022-11-12T18:30:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40659274-dominic-fike-at-hollywood-palladium?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40539165-beabadoobee-at-novo,Beabadoobee,Lowertown,https://www.songkick.com/venues/2871953-novo,The Novo,"Los Angeles (LA), CA, US ","
        <time datetime=""2022-11-12T18:30:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40539165-beabadoobee-at-novo"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/9458139/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Beabadoobee live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40539165-beabadoobee-at-novo"">
                <span>
                  <strong>Beabadoobee</strong>
                    <span class=""support"">Lowertown</span>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/2871953-novo"">The Novo</a></span>,
              <span>
                <span class=""city-name"">Los Angeles (LA), CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40539165-beabadoobee-at-novo"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Beabadoobee"",""url"":""https://www.songkick.com/concerts/40539165-beabadoobee-at-novo?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/9458139/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Los Angeles (LA)"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""800 W Olympic Blvd"",""postalCode"":""90015""},""name"":""The Novo"",""sameAs"":""http://www.thenovodtla.com/"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":34.0448,""longitude"":-118.26527}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T18:30:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Beabadoobee"",""sameAs"":""https://www.songkick.com/artists/9458139-beabadoobee?utm_medium=organic\u0026utm_source=microformat""},{""@type"":""MusicGroup"",""name"":""Lowertown"",""sameAs"":""https://www.songkick.com/artists/9993914-lowertown?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Beabadoobee at The Novo at 2022-11-12T18:30:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40539165-beabadoobee-at-novo?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40628894-too-short-at-riverside-municipal-auditorium,Too $hort and G Perico,,https://www.songkick.com/venues/30795-riverside-municipal-auditorium,Riverside Municipal Auditorium,"Riverside, CA, US ","
        <time datetime=""2022-11-12T19:00:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40628894-too-short-at-riverside-municipal-auditorium"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/545739/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Too $hort live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40628894-too-short-at-riverside-municipal-auditorium"">
                <span>
                  <strong>Too $hort and G Perico</strong>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/30795-riverside-municipal-auditorium"">Riverside Municipal Auditorium</a></span>,
              <span>
                <span class=""city-name"">Riverside, CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40628894-too-short-at-riverside-municipal-auditorium"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Too $hort"",""url"":""https://www.songkick.com/concerts/40628894-too-short-at-riverside-municipal-auditorium?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/545739/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Riverside"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""3485 Mission Inn Ave"",""postalCode"":""92501""},""name"":""Riverside Municipal Auditorium"",""sameAs"":null,""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.98193,""longitude"":-117.37139}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T19:00:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Too $hort"",""sameAs"":""https://www.songkick.com/artists/545739-too-short?utm_medium=organic\u0026utm_source=microformat""},{""@type"":""MusicGroup"",""name"":""G Perico"",""sameAs"":""https://www.songkick.com/artists/8723724-g-perico?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Too $hort and G Perico at Riverside Municipal Auditorium at 2022-11-12T19:00:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40628894-too-short-at-riverside-municipal-auditorium?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40645963-carla-morrison-at-fox-theater,Carla Morrison,,https://www.songkick.com/venues/92865-fox-theater,Fox Theater,"Pomona, CA, US ","
        <time datetime=""2022-11-12T19:00:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40645963-carla-morrison-at-fox-theater"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/3349566/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Carla Morrison live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40645963-carla-morrison-at-fox-theater"">
                <span>
                  <strong>Carla Morrison</strong>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/92865-fox-theater"">Fox Theater</a></span>,
              <span>
                <span class=""city-name"">Pomona, CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40645963-carla-morrison-at-fox-theater"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Carla Morrison"",""url"":""https://www.songkick.com/concerts/40645963-carla-morrison-at-fox-theater?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/3349566/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Pomona"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""301 Garey Ave."",""postalCode"":""91766""},""name"":""Fox Theater"",""sameAs"":""http://www.foxpomona.com/"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":34.05683,""longitude"":-117.75039}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T19:00:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Carla Morrison"",""sameAs"":""https://www.songkick.com/artists/3349566-carla-morrison?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Carla Morrison at Fox Theater at 2022-11-12T19:00:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40645963-carla-morrison-at-fox-theater?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
,https://www.songkick.com/concerts/40365232-scott-bradlees-postmodern-jukebox-at-theatre-at-ace-hotel,Scott Bradlee's Postmodern Jukebox,,https://www.songkick.com/venues/2502474-theatre-at-ace-hotel,The Theatre at Ace Hotel,"Los Angeles (LA), CA, US ","
        <time datetime=""2022-11-12T19:00:00-0800""></time>

        <div class=""event-details-wrapper"">
          <div class=""image-wrapper"">
            <a href=""/concerts/40365232-scott-bradlees-postmodern-jukebox-at-theatre-at-ace-hotel"" class=""thumb"">
              <img src=""//assets.sk-static.com/assets/images/default_images/large_avatar/default-artist.a8e9d06fcef5440088394dacafbcf19a.png"" data-src=""//images.sk-static.com/images/media/profile_images/artists/7990208/large_avatar"" width=""48"" height=""48"" class=""artist-profile-image artist lazyload"" alt=""Scott Bradlee's Postmodern Jukebox live"">
            </a>
          </div>

          <div class=""artists-venue-location-wrapper"">
            
            

            <p class=""artists"">
              <a class=""event-link"" href=""/concerts/40365232-scott-bradlees-postmodern-jukebox-at-theatre-at-ace-hotel"">
                <span>
                  <strong>Scott Bradlee's Postmodern Jukebox</strong>
                </span>
              </a>
            </p>

            <p class=""location"">
                <span><a class=""venue-link"" href=""/venues/2502474-theatre-at-ace-hotel"">The Theatre at Ace Hotel</a></span>,
              <span>
                <span class=""city-name"">Los Angeles (LA), CA, US </span>
              </span>
            </p>
          </div>

          <a class=""event-link chevron-wrapper"" href=""/concerts/40365232-scott-bradlees-postmodern-jukebox-at-theatre-at-ace-hotel"">
            <i class=""chevron""></i>
          </a>
        </div>

        <div class=""microformat"">
          <script type=""application/ld+json"">[{""@context"":""http://schema.org"",""@type"":""MusicEvent"",""name"":""Scott Bradlee's Postmodern Jukebox"",""url"":""https://www.songkick.com/concerts/40365232-scott-bradlees-postmodern-jukebox-at-theatre-at-ace-hotel?utm_medium=organic\u0026utm_source=microformat"",""image"":""media/profile_images/artists/7990208/huge_avatar"",""location"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Los Angeles (LA)"",""addressCountry"":""US"",""addressRegion"":""CA"",""streetAddress"":""933 S. Broadway"",""postalCode"":""90015""},""name"":""The Theatre at Ace Hotel"",""sameAs"":""http://www.acehotel.com/calendar/losangeles"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":34.04152,""longitude"":-118.25685}},""eventStatus"":""https://schema.org/EventScheduled"",""startDate"":""2022-11-12T19:00:00-0800"",""endDate"":""2022-11-12"",""performer"":[{""@type"":""MusicGroup"",""name"":""Scott Bradlee's Postmodern Jukebox"",""sameAs"":""https://www.songkick.com/artists/7990208-scott-bradlees-postmodern-jukebox?utm_medium=organic\u0026utm_source=microformat""}],""description"":""Scott Bradlee's Postmodern Jukebox at The Theatre at Ace Hotel at 2022-11-12T19:00:00-0800"",""offers"":[{""@type"":""Offer"",""url"":""http://www.songkick.com/concerts/40365232-scott-bradlees-postmodern-jukebox-at-theatre-at-ace-hotel?utm_medium=organic\u0026utm_source=microformat""}]}]</script>
        </div>
      "
